Teufe,qc,fs
[m],[MN/m²],[MN/m²]
3.0200000000,1.4057000000,0.0114000000
3.0400000000,1.4154000000,0.0114000000
3.0600000000,1.4309000000,0.0116000000
3.0800000000,1.4425000000,0.0116000000
3.1000000000,1.4464000000,0.0117000000
3.1200000000,1.4619000000,0.0120000000
3.1400000000,1.4774000000,0.0123000000
3.1600000000,1.4929000000,0.0124000000
3.1800000000,1.5084000000,0.0124000000
3.2000000000,1.5394000000,0.0127000000
3.2200000000,1.5549000000,0.0128000000
3.2400000000,1.5743000000,0.0129000000
3.2600000000,1.5936000000,0.0130000000
3.2800000000,1.6401000000,0.0131000000
3.3000000000,1.6789000000,0.0135000000
3.3200000000,1.7176000000,0.0139000000
3.3400000000,1.7873000000,0.0140000000
3.3600000000,1.8261000000,0.0148000000
3.3800000000,1.8571000000,0.0151000000
3.4000000000,1.8765000000,0.0152000000
3.4200000000,1.9036000000,0.0157000000
3.4400000000,1.9462000000,0.0166000000
3.4600000000,2.0043000000,0.0169000000
3.4800000000,2.1244000000,0.0175000000
3.5000000000,2.4576000000,0.0198000000
3.5200000000,2.8605000000,0.0225000000
3.5400000000,3.6043000000,0.0271000000
3.5600000000,4.9642000000,0.0332000000
3.5800000000,8.1875000000,0.0408000000
3.6000000000,10.8180000000,0.0493000000
3.6200000000,13.7740000000,0.0649000000
3.6400000000,16.6138000000,0.0789000000
3.6600000000,20.0889000000,0.0956000000
3.6800000000,21.6889000000,0.0972000000
3.7000000000,22.8744000000,0.0973000000
3.7200000000,23.7113000000,0.1320000000
3.7400000000,24.3156000000,0.1520000000
3.7600000000,24.2846000000,0.1629000000
3.7800000000,23.4924000000,0.1710000000
3.8000000000,23.0681000000,0.1795000000
3.8200000000,22.7582000000,0.1830000000
3.8400000000,22.4018000000,0.1835000000
3.8600000000,22.0841000000,0.1829000000
3.8800000000,21.7122000000,0.1805000000
3.9000000000,21.4371000000,0.1779000000
3.9200000000,21.1388000000,0.1760000000
3.9400000000,20.6197000000,0.1738000000
3.9600000000,20.3252000000,0.1704000000
3.9800000000,19.9301000000,0.1686000000
4.0000000000,19.2870000000,0.1657000000
4.0200000000,18.8879000000,0.1622000000
4.0400000000,18.5199000000,0.1601000000
4.0600000000,18.1131000000,0.1574000000
4.0800000000,17.7024000000,0.1550000000
4.1000000000,17.1213000000,0.1522000000
4.1200000000,16.7223000000,0.1501000000
4.1400000000,16.2961000000,0.1481000000
4.1600000000,15.8544000000,0.1463000000
4.1800000000,15.1920000000,0.1445000000
4.2000000000,14.6806000000,0.1410000000
4.2200000000,14.1692000000,0.1384000000
4.2400000000,13.3091000000,0.1352000000
4.2600000000,12.8404000000,0.1309000000
4.2800000000,12.4064000000,0.1258000000
4.3000000000,12.0152000000,0.1224000000
4.3200000000,11.4611000000,0.1191000000
4.3400000000,11.1202000000,0.1161000000
4.3600000000,10.8064000000,0.1121000000
4.3800000000,10.4926000000,0.1088000000
4.4000000000,10.1594000000,0.1059000000
4.4200000000,9.7061000000,0.1048000000
4.4400000000,9.3962000000,0.1017000000
4.4600000000,9.1366000000,0.0984000000
4.4800000000,8.8422000000,0.0956000000
4.5000000000,8.3851000000,0.0928000000
4.5200000000,8.1681000000,0.0885000000
4.5400000000,7.7148000000,0.0861000000
4.5600000000,7.4708000000,0.0839000000
4.5800000000,7.1182000000,0.0821000000
4.6000000000,6.8819000000,0.0789000000
4.6200000000,6.6998000000,0.0773000000
4.6400000000,6.4945000000,0.0748000000
4.6600000000,6.3279000000,0.0728000000
4.6800000000,6.0683000000,0.0700000000
4.7000000000,5.9443000000,0.0666000000
4.7200000000,5.8126000000,0.0633000000
4.7400000000,5.7041000000,0.0610000000
4.7600000000,5.5182000000,0.0599000000
4.7800000000,5.4407000000,0.0589000000
4.8000000000,5.1075000000,0.0579000000
4.8200000000,4.9680000000,0.0567000000
4.8400000000,4.8208000000,0.0555000000
4.8600000000,4.6814000000,0.0533000000
4.8800000000,4.4489000000,0.0517000000
4.9000000000,4.3327000000,0.0494000000
4.9200000000,4.2126000000,0.0480000000
4.9400000000,4.0615000000,0.0464000000
4.9600000000,3.8871000000,0.0451000000
4.9800000000,3.7748000000,0.0444000000
5.0000000000,3.6741000000,0.0435000000
5.0200000000,3.5811000000,0.0422000000
5.0400000000,3.4842000000,0.0418000000
5.0600000000,3.4300000000,0.0411000000
5.0800000000,3.3758000000,0.0403000000
5.1000000000,3.2983000000,0.0394000000
5.1200000000,3.2518000000,0.0387000000
5.1400000000,3.2053000000,0.0367000000
5.1600000000,3.1472000000,0.0361000000
5.1800000000,3.1084000000,0.0354000000
5.2000000000,3.0852000000,0.0347000000
5.2200000000,3.0619000000,0.0339000000
5.2400000000,3.0465000000,0.0335000000
5.2600000000,3.0271000000,0.0330000000
5.2800000000,3.0038000000,0.0325000000
5.3000000000,2.9961000000,0.0321000000
5.3200000000,2.9816000000,0.0318000000
5.3400000000,2.9845000000,0.0313000000
5.3600000000,2.9612000000,0.0310000000
5.3800000000,2.9612000000,0.0306000000
5.4000000000,2.9767000000,0.0305000000
5.4200000000,2.9690000000,0.0304000000
5.4400000000,2.9457000000,0.0304000000
5.4600000000,2.9302000000,0.0302000000
5.4800000000,2.9109000000,0.0301000000
5.5000000000,2.8915000000,0.0300000000
5.5200000000,2.8876000000,0.0300000000
5.5400000000,2.8833000000,0.0300000000
5.5600000000,2.8837000000,0.0301000000
5.5800000000,2.8808000000,0.0301000000
5.6000000000,2.8799000000,0.0301000000
5.6200000000,2.8644000000,0.0300000000
5.6400000000,2.8566000000,0.0297000000
5.6600000000,2.8450000000,0.0296000000
5.6800000000,2.8295000000,0.0295000000
5.7000000000,2.8256000000,0.0279000000
5.7200000000,2.8256000000,0.0270000000
5.7400000000,2.8295000000,0.0270000000
5.7600000000,2.8179000000,0.0270000000
5.7800000000,2.7365000000,0.0274000000
5.8000000000,2.7326000000,0.0276000000
5.8200000000,2.7249000000,0.0276000000
5.8400000000,2.7133000000,0.0276000000
5.8600000000,2.6939000000,0.0276000000
5.8800000000,2.6552000000,0.0275000000
5.9000000000,2.6513000000,0.0272000000
5.9200000000,2.6510000000,0.0270000000
5.9400000000,2.6513000000,0.0266000000
5.9600000000,2.6745000000,0.0261000000
5.9800000000,2.7094000000,0.0260000000
6.0000000000,2.7404000000,0.0260000000
6.0200000000,2.7481000000,0.0265000000
6.0400000000,2.7598000000,0.0267000000
6.0600000000,2.7579000000,0.0268000000
6.0800000000,2.7598000000,0.0272000000
6.1000000000,2.7365000000,0.0272000000
6.1200000000,2.7133000000,0.0272000000
6.1400000000,2.7016000000,0.0272000000
6.1600000000,2.6939000000,0.0272000000
6.1800000000,2.6881000000,0.0273000000
6.2000000000,2.6784000000,0.0273000000
6.2200000000,2.6707000000,0.0271000000
6.2400000000,2.6668000000,0.0269000000
6.2600000000,2.6629000000,0.0268000000
6.2800000000,2.6435000000,0.0265000000
6.3000000000,2.6164000000,0.0259000000
6.3200000000,2.5467000000,0.0259000000
6.3400000000,2.5157000000,0.0258000000
6.3600000000,2.4808000000,0.0257000000
6.3800000000,2.4421000000,0.0256000000
6.4000000000,2.4266000000,0.0256000000
6.4200000000,2.4072000000,0.0256000000
6.4400000000,2.4043000000,0.0256000000
6.4600000000,2.4033000000,0.0256000000
6.4800000000,2.3995000000,0.0254000000
6.5000000000,2.3995000000,0.0251000000
6.5200000000,2.3956000000,0.0251000000
6.5400000000,2.3762000000,0.0252000000
6.5600000000,2.3743000000,0.0253000000
6.5800000000,2.3712000000,0.0253000000
6.6000000000,2.3715000000,0.0252000000
6.6200000000,2.3840000000,0.0250000000
6.6400000000,2.3878000000,0.0250000000
6.6600000000,2.4343000000,0.0240000000
6.6800000000,2.4576000000,0.0235000000
6.7000000000,2.4808000000,0.0237000000
6.7200000000,2.4886000000,0.0241000000
6.7400000000,2.4847000000,0.0243000000
6.7600000000,2.4692000000,0.0243000000
6.7800000000,2.3956000000,0.0242000000
6.8000000000,2.3840000000,0.0242000000
6.8200000000,2.3665000000,0.0242000000
6.8400000000,2.3530000000,0.0239000000
6.8600000000,2.3512000000,0.0234000000
6.8800000000,2.3540000000,0.0231000000
6.9000000000,2.3568000000,0.0224000000
6.9200000000,2.3607000000,0.0221000000
6.9400000000,2.3878000000,0.0220000000
6.9600000000,2.3956000000,0.0223000000
6.9800000000,2.3898000000,0.0224000000
7.0000000000,2.3917000000,0.0225000000
7.0200000000,2.3762000000,0.0225000000
7.0400000000,2.3704000000,0.0226000000
7.0600000000,2.3685000000,0.0227000000
7.0800000000,2.3682000000,0.0229000000
7.1000000000,2.3685000000,0.0232000000
7.1200000000,2.3646000000,0.0235000000
7.1400000000,2.3568000000,0.0236000000
7.1600000000,2.3549000000,0.0237000000
7.1800000000,2.3507000000,0.0237000000
7.2000000000,2.3496000000,0.0236000000
7.2200000000,2.3452000000,0.0235000000
7.2400000000,2.3220000000,0.0234000000
7.2600000000,2.2987000000,0.0234000000
7.2800000000,2.2406000000,0.0234000000
7.3000000000,2.1980000000,0.0238000000
7.3200000000,2.1887000000,0.0246000000
7.3400000000,2.1893000000,0.0252000000
7.3600000000,2.1941000000,0.0252000000
7.3800000000,2.2174000000,0.0256000000
7.4000000000,2.2329000000,0.0264000000
7.4200000000,2.2328000000,0.0265000000
7.4400000000,2.2329000000,0.0264000000
7.4600000000,2.2445000000,0.0246000000
7.4800000000,2.2658000000,0.0243000000
7.5000000000,2.2871000000,0.0243000000
7.5200000000,2.3375000000,0.0242000000
7.5400000000,2.4150000000,0.0238000000
7.5600000000,2.5312000000,0.0238000000
7.5800000000,2.7365000000,0.0258000000
7.6000000000,2.8527000000,0.0276000000
7.6200000000,2.9341000000,0.0284000000
7.6400000000,3.0426000000,0.0294000000
7.6600000000,3.2014000000,0.0304000000
7.6800000000,3.4687000000,0.0325000000
7.7000000000,3.9530000000,0.0340000000
7.7200000000,4.3947000000,0.0351000000
7.7400000000,4.9913000000,0.0380000000
7.7600000000,5.8165000000,0.0424000000
7.7800000000,6.9942000000,0.0472000000
7.8000000000,7.9047000000,0.0531000000
7.8200000000,8.8345000000,0.0616000000
7.8400000000,10.1982000000,0.0722000000
7.8600000000,11.3875000000,0.0794000000
7.8800000000,12.4723000000,0.0858000000
7.9000000000,13.2898000000,0.0908000000
7.9200000000,14.4752000000,0.0959000000
7.9400000000,15.2268000000,0.1005000000
7.9600000000,16.0753000000,0.1038000000
7.9800000000,16.8424000000,0.1063000000
8.0000000000,17.5281000000,0.1091000000
8.0200000000,17.4157000000,0.1108000000
8.0400000000,17.1910000000,0.1163000000
8.0600000000,16.7300000000,0.1163000000
8.0800000000,16.7068000000,0.1161000000
8.1000000000,16.1838000000,0.1160000000
8.1200000000,15.8893000000,0.1159000000
8.1400000000,15.5406000000,0.1143000000
8.1600000000,14.7193000000,0.1089000000
8.1800000000,14.1886000000,0.0988000000
8.2000000000,13.7934000000,0.0939000000
8.2200000000,13.5106000000,0.0899000000
8.2400000000,13.0844000000,0.0865000000
8.2600000000,12.8713000000,0.0849000000
8.2800000000,12.6660000000,0.0848000000
8.3000000000,12.4762000000,0.0848000000
8.3200000000,12.2747000000,0.0848000000
8.3400000000,12.0733000000,0.0862000000
8.3600000000,11.7788000000,0.0863000000
8.3800000000,11.2287000000,0.0858000000
8.4000000000,10.8452000000,0.0829000000
8.4200000000,10.2756000000,0.0809000000
8.4400000000,10.0083000000,0.0759000000
8.4600000000,9.6906000000,0.0733000000
8.4800000000,9.3420000000,0.0691000000
8.5000000000,9.1173000000,0.0679000000
8.5200000000,8.9468000000,0.0670000000
8.5400000000,8.7260000000,0.0656000000
8.5600000000,8.3928000000,0.0631000000
8.5800000000,8.1371000000,0.0602000000
8.6000000000,7.8620000000,0.0587000000
8.6200000000,7.6373000000,0.0582000000
8.6400000000,7.1841000000,0.0549000000
8.6600000000,6.8819000000,0.0529000000
8.6800000000,6.5642000000,0.0502000000
8.7000000000,6.2775000000,0.0477000000
8.7200000000,5.9482000000,0.0466000000
8.7400000000,5.6964000000,0.0442000000
8.7600000000,5.3942000000,0.0422000000
8.7800000000,5.1036000000,0.0406000000
8.8000000000,4.9370000000,0.0379000000
8.8200000000,4.7511000000,0.0372000000
8.8400000000,4.5922000000,0.0362000000
8.8600000000,4.4683000000,0.0355000000
8.8800000000,4.4024000000,0.0352000000
8.9000000000,4.2707000000,0.0337000000
8.9200000000,4.2010000000,0.0335000000
8.9400000000,4.1080000000,0.0322000000
8.9600000000,4.0344000000,0.0316000000
8.9800000000,3.9724000000,0.0310000000
9.0000000000,3.9298000000,0.0310000000
9.0200000000,3.8842000000,0.0306000000
9.0400000000,3.8799000000,0.0303000000
9.0600000000,3.8795000000,0.0302000000
9.0800000000,3.8949000000,0.0301000000
9.1000000000,3.8833000000,0.0289000000
9.1200000000,3.8755000000,0.0277000000
9.1400000000,3.8407000000,0.0275000000
9.1600000000,3.7748000000,0.0273000000
9.1800000000,3.6392000000,0.0272000000
9.2000000000,3.5230000000,0.0267000000
9.2200000000,3.4106000000,0.0260000000
9.2400000000,3.3409000000,0.0246000000
9.2600000000,3.1704000000,0.0236000000
9.2800000000,3.0891000000,0.0221000000
9.3000000000,3.0077000000,0.0216000000
9.3200000000,2.9380000000,0.0200000000
9.3400000000,2.8682000000,0.0195000000
9.3600000000,2.8179000000,0.0187000000
9.3800000000,2.7791000000,0.0185000000
9.4000000000,2.7171000000,0.0185000000
9.4200000000,2.6552000000,0.0184000000
9.4400000000,2.6513000000,0.0182000000
9.4600000000,2.5893000000,0.0182000000
9.4800000000,2.5932000000,0.0180000000
9.5000000000,2.5816000000,0.0178000000
9.5200000000,2.5312000000,0.0173000000
9.5400000000,2.5196000000,0.0172000000
9.5600000000,2.4808000000,0.0169000000
9.5800000000,2.4537000000,0.0166000000
9.6000000000,2.4266000000,0.0162000000
9.6200000000,2.4266000000,0.0161000000
9.6400000000,2.4276000000,0.0160000000
9.6600000000,2.4382000000,0.0161000000
9.6800000000,2.4692000000,0.0162000000
9.7000000000,2.5312000000,0.0164000000
9.7200000000,2.5544000000,0.0164000000
9.7400000000,2.5757000000,0.0164000000
9.7600000000,2.6087000000,0.0168000000
9.7800000000,2.5935000000,0.0171000000
9.8000000000,2.5973000000,0.0175000000
9.8200000000,2.5932000000,0.0175000000
9.8400000000,2.5816000000,0.0175000000
9.8600000000,2.5777000000,0.0176000000
9.8800000000,2.5583000000,0.0179000000
9.9000000000,2.5472000000,0.0179000000
9.9200000000,2.5463000000,0.0181000000
9.9400000000,2.6009000000,0.0183000000
9.9600000000,2.4808000000,0.0184000000
9.9800000000,2.4615000000,0.0189000000
10.0000000000,2.4421000000,0.0190000000
10.0200000000,2.4421000000,0.0192000000
10.0400000000,2.4382000000,0.0198000000
10.0600000000,2.4382000000,0.0200000000
10.0800000000,2.4615000000,0.0200000000
10.1000000000,2.4460000000,0.0201000000
10.1200000000,2.4343000000,0.0215000000
10.1400000000,2.4111000000,0.0218000000
10.1600000000,2.3840000000,0.0218000000
10.1800000000,2.3956000000,0.0217000000
10.2000000000,2.3142000000,0.0215000000
10.2200000000,2.2987000000,0.0212000000
10.2400000000,2.2755000000,0.0208000000
10.2600000000,2.2290000000,0.0201000000
10.2800000000,2.1825000000,0.0181000000
10.3000000000,2.1554000000,0.0180000000
10.3200000000,2.1167000000,0.0179000000
10.3400000000,2.0779000000,0.0178000000
10.3600000000,2.0663000000,0.0179000000
10.3800000000,2.0655000000,0.0183000000
10.4000000000,2.0702000000,0.0198000000
10.4200000000,2.1515000000,0.0236000000
10.4400000000,2.2019000000,0.0247000000
10.4600000000,2.1883000000,0.0261000000
10.4800000000,2.1864000000,0.0263000000
10.5000000000,2.1786000000,0.0278000000
10.5200000000,2.1825000000,0.0334000000
10.5400000000,2.1399000000,0.0347000000
10.5600000000,2.1476000000,0.0351000000
10.5800000000,2.1012000000,0.0350000000
10.6000000000,2.0895000000,0.0333000000
10.6200000000,1.9966000000,0.0328000000
10.6400000000,1.9036000000,0.0291000000
10.6600000000,1.8581000000,0.0231000000
10.6800000000,1.8455000000,0.0216000000
10.7000000000,1.8028000000,0.0183000000
10.7200000000,1.7951000000,0.0149000000
10.7400000000,1.7868000000,0.0145000000
10.7600000000,1.7912000000,0.0153000000
10.7800000000,1.7796000000,0.0168000000
10.8000000000,1.7718000000,0.0172000000
10.8200000000,1.7564000000,0.0172000000
10.8400000000,1.7021000000,0.0175000000
10.8600000000,1.6895000000,0.0176000000
10.8800000000,1.6827000000,0.0174000000
10.9000000000,1.6717000000,0.0169000000
10.9200000000,1.6711000000,0.0155000000
10.9400000000,1.6750000000,0.0152000000
10.9600000000,1.6866000000,0.0148000000
10.9800000000,1.6982000000,0.0148000000
11.0000000000,1.7215000000,0.0148000000
11.0200000000,1.7680000000,0.0148000000
11.0400000000,1.7699000000,0.0149000000
11.0600000000,1.8338000000,0.0155000000
11.0800000000,1.8648000000,0.0158000000
11.1000000000,1.8765000000,0.0169000000
11.1200000000,1.8958000000,0.0170000000
11.1400000000,1.8842000000,0.0174000000
11.1600000000,1.8707000000,0.0174000000
11.1800000000,1.8668000000,0.0173000000
11.2000000000,1.8726000000,0.0166000000
11.2200000000,1.9036000000,0.0165000000
11.2400000000,1.9384000000,0.0164000000
11.2600000000,2.0159000000,0.0164000000
11.2800000000,2.0857000000,0.0164000000
11.3000000000,2.0508000000,0.0179000000
11.3200000000,1.9578000000,0.0180000000
11.3400000000,1.9336000000,0.0180000000
11.3600000000,1.9370000000,0.0174000000
11.3800000000,1.9539000000,0.0167000000
11.4000000000,1.9656000000,0.0167000000
11.4200000000,2.0004000000,0.0168000000
11.4400000000,1.9907000000,0.0168000000
11.4600000000,2.0004000000,0.0168000000
11.4800000000,1.9113000000,0.0173000000
11.5000000000,1.8794000000,0.0173000000
11.5200000000,1.8770000000,0.0174000000
11.5400000000,1.8804000000,0.0174000000
11.5600000000,1.9462000000,0.0174000000
11.5800000000,2.0237000000,0.0176000000
11.6000000000,2.1864000000,0.0177000000
11.6200000000,2.2949000000,0.0181000000
11.6400000000,2.4731000000,0.0211000000
11.6600000000,2.5467000000,0.0282000000
11.6800000000,2.8179000000,0.0306000000
11.7000000000,2.9322000000,0.0467000000
11.7200000000,3.1898000000,0.0545000000
11.7400000000,3.3525000000,0.0602000000
11.7600000000,3.8755000000,0.0604000000
11.7800000000,6.8664000000,0.1122000000
11.8000000000,7.0175000000,0.1136000000
11.8200000000,5.5143000000,0.1100000000
11.8400000000,4.9012000000,0.1015000000
11.8600000000,4.4022000000,0.0930000000
11.8800000000,4.1738000000,0.0928000000
11.9000000000,3.9351000000,0.1010000000
11.9200000000,3.9488000000,0.1144000000
11.9400000000,3.9646000000,0.1292000000
11.9600000000,4.0034000000,0.1446000000
11.9800000000,3.7709000000,0.1452000000
12.0000000000,3.3293000000,0.1443000000
12.0200000000,3.1046000000,0.1363000000
12.0400000000,3.1433000000,0.1179000000
12.0600000000,3.0116000000,0.1032000000
12.0800000000,2.9186000000,0.0798000000
12.1000000000,2.7481000000,0.0636000000
12.1200000000,2.6538000000,0.0510000000
12.1400000000,2.6455000000,0.0432000000
12.1600000000,2.6939000000,0.0363000000
12.1800000000,2.7946000000,0.0329000000
12.2000000000,2.9380000000,0.0328000000
12.2200000000,2.9651000000,0.0329000000
12.2400000000,3.1239000000,0.0340000000
12.2600000000,3.3176000000,0.0357000000
12.2800000000,3.4222000000,0.0368000000
12.3000000000,3.5772000000,0.0380000000
12.3200000000,3.8755000000,0.0397000000
12.3400000000,4.0692000000,0.0445000000
12.3600000000,4.2668000000,0.0483000000
12.3800000000,4.5070000000,0.0490000000
12.4000000000,4.6387000000,0.0492000000
12.4200000000,4.7898000000,0.0496000000
12.4400000000,4.7666000000,0.0519000000
12.4600000000,4.7565000000,0.0541000000
12.4800000000,4.7666000000,0.0540000000
12.5000000000,4.6232000000,0.0532000000
12.5200000000,4.5922000000,0.0516000000
12.5400000000,4.4566000000,0.0512000000
12.5600000000,4.3443000000,0.0510000000
12.5800000000,4.3288000000,0.0509000000
12.6000000000,4.2087000000,0.0508000000
12.6200000000,4.0809000000,0.0507000000
12.6400000000,3.9917000000,0.0483000000
12.6600000000,3.8678000000,0.0468000000
12.6800000000,3.8290000000,0.0455000000
12.7000000000,3.8271000000,0.0450000000
12.7200000000,3.7709000000,0.0445000000
12.7400000000,3.5966000000,0.0444000000
12.7600000000,3.4959000000,0.0442000000
12.7800000000,3.4145000000,0.0416000000
12.8000000000,3.4106000000,0.0414000000
12.8200000000,3.3927000000,0.0415000000
12.8400000000,3.3944000000,0.0421000000
12.8600000000,3.4145000000,0.0422000000
12.8800000000,3.4339000000,0.0435000000
12.9000000000,3.6663000000,0.0464000000
12.9200000000,3.5811000000,0.0490000000
12.9400000000,3.4082000000,0.0499000000
12.9600000000,3.4163000000,0.0499000000
12.9800000000,3.4494000000,0.0498000000
13.0000000000,3.5385000000,0.0485000000
13.0200000000,3.5811000000,0.0460000000
13.0400000000,3.6198000000,0.0438000000
13.0600000000,3.6547000000,0.0397000000
13.0800000000,3.6528000000,0.0396000000
13.1000000000,3.6431000000,0.0396000000
13.1200000000,3.6082000000,0.0388000000
13.1400000000,3.6082000000,0.0384000000
13.1600000000,3.6276000000,0.0379000000
13.1800000000,3.6353000000,0.0377000000
13.2000000000,3.6547000000,0.0377000000
13.2200000000,3.7012000000,0.0385000000
